"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"9b5f3f87-d022-41a4-ac35-769f29ef4dbd","0","1","10000","5000","1732623778750","1732623783997","200001","278474301","646004080","0.6450683569820761","0.9253657388762438","0"
"bc5a4ca5-0802-45bb-8f2d-25a4c5648b06","0","1","10000","2000","1732623837273","1732623842369","200001","265325052","646280304","0.6426023735569661","0.9258789747568961","0"
"9741bcb9-3683-4514-a1a0-a7eacffa3b58","0","1","100000","50000","1732623895217","1732623900282","200001","285651753","646538848","0.6430029435911512","0.9257162269278677","0"
"e3695195-907d-47b6-9eb5-a0abb07da812","0","1","100000","20000","1732623953495","1732623958510","200001","255516459","646057856","0.6448479717853602","0.9308295248883507","0"
"969a2940-d467-4b0b-9593-88d1dafdd286","0","1","1000000","500000","1732624011376","1732624016447","200001","269187271","646457184","0.6399692765612934","0.9266248497979521","0"
"ab968b0e-e84f-4cd9-a3a6-e746311135d7","0","1","1000000","200000","1732624069592","1732624074708","200001","271345722","646282224","0.642603726143878","0.9255957605181588","0"
"5e0d81e9-7914-4d42-9676-4fb19a53ae34","0","1","10000000","5000000","1732624127688","1732624132825","200001","262094416","646167040","0.6472208900610251","0.9299982498482121","0"
"9e9d8179-9b34-496d-9529-f6c12bbf0f5b","0","1","10000000","2000000","1732624185708","1732624190879","200001","255478754","633590040","0.6441341566016153","0.9278055542256298","0"
"68bef3a6-d05d-414b-8de7-2bb416b73a74","0","1","10000","5000","1732630692760","1732630697870","200001","253219445","646230976","0.6471541524830781","0.9267676282974081","0"
"ea7847a7-7230-4261-b763-869280b79830","0","1","10000","2000","1732630750821","1732630755943","200001","275557108","645946264","0.6476104285675719","0.9325267496098566","0"
"555f8e6b-b94b-4fc5-9811-71ab3dc6c033","0","1","100000","50000","1732630809054","1732630814169","200001","255979271","646142704","0.644320085103334","0.9291959026773201","0"
"ae0e6079-4ca5-4ea8-b2a2-1df81a50de74","0","1","100000","20000","1732630867322","1732630872425","200001","262692333","646327456","0.648416549138277","0.9262473430154027","0"
"964f4935-945e-40f7-a849-edeba9e6de50","0","1","1000000","500000","1732630925489","1732630930670","200001","276968995","646217464","0.6471830531833992","0.9264477375353266","0"
"87bba147-1474-4beb-ba64-50673604ef99","0","1","1000000","200000","1732630983603","1732630988709","200001","287737172","646236864","0.6456378833024857","0.9271348259112442","0"
"1bd1f2ae-85b2-4fc8-bc5d-1d2399d715e9","0","1","10000000","5000000","1732631041753","1732631046926","200001","260523831","634669736","0.6484848905906573","0.9239844053264924","0"
"7146c0b1-7634-485e-84ad-e14aed26f0f0","0","1","10000000","2000000","1732631100084","1732631105231","200001","259694989","646225704","0.6499888860817877","0.9231342917623597","0"
