"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"97cf8c05-efd2-405f-bd8b-1dd059d9f59f","0","1","10000","5000","1684967883542","1684967912964","1900001","1090519040","1090519040","0.39488149972635994","0.9297217383513017","0"
"09bbe253-dffb-42c4-a41e-d08ab9980b9f","0","1","10000","2000","1684968029744","1684968058987","1900001","1090519040","1090519040","0.3906606523181299","0.931228295132767","0"
"6554fd40-7621-4428-9655-d0e1f6457780","0","1","100000","50000","1684968176136","1684968205344","1900001","1090519040","1090519040","0.3924359799055009","0.9331820044600326","0"
"7f323524-2fa8-4265-b6ab-b8f5fa5d3db3","0","1","100000","20000","1684968322561","1684968351936","1900001","1090519040","1090519040","0.3945922567592408","0.9314284056319602","0"
"e5b6e299-5f03-4427-9ce5-0d83104e142e","0","1","1000000","500000","1684968469104","1684968498310","1900001","1090519040","1090519040","0.3931675758112258","0.9295656539900266","0"
"a6e402e1-b6bb-464a-9031-f3a249d6ff30","0","1","1000000","200000","1684968615443","1684968644606","1900001","1090519040","1090519040","0.3934085749390426","0.9276128388879753","0"
"ad553373-dea3-4804-a5d7-ab7a85095b2b","0","1","10000000","5000000","1684968762171","1684968791374","1900001","1090519040","1090519040","0.39386551904975686","0.9295457759943844","0"
"a6cc3a48-24ff-4ac4-b390-ca51b4a5eb55","0","1","10000000","2000000","1684968908859","1684968938361","1900001","1090519040","1090519040","0.39378885097818106","0.9298949920079603","0"
