"ExperimentID","PercentageOfInc","ConstraintStrictness","WindowSizeMs","WindowSlideMs","StartTimeMs","CurrentTimeMs","NumberOfEvents","AvgMemory","MaxMemory","AvgCPU","MaxCPU","NumberOfInconsistencies"
"0970e67d-1ba3-49c2-94e4-042ab02a3df7","0","1","8640000000","4320000000","1684707361783","1684707379517","1000001","1090519040","1090519040","0.47843188314158885","0.9178309154967327","25888"
"5c09c22f-2630-4be4-bb2a-c25e3ce35a52","0","1","8640000000","4320000000","1684708078327","1684708096039","1000001","1090519040","1090519040","0.48015383961592034","0.9318916281678239","25888"
"0d08355f-434c-4c74-a7e1-6291c516c0c5","0","1","8640000000","4320000000","1684708795871","1684708813676","1000001","1090519040","1090519040","0.4797393194265323","0.9322919032979459","25888"
"f2d693c1-bf0a-4602-b806-7bf1d2db7128","0","1","8640000000","1728000000","1684709513302","1684709531952","1000001","1090519040","1090519040","0.5010390689703776","0.9282183744722312","25888"
"ae6fa9a8-f887-46a4-8511-f8582a996c4e","0","1","8640000000","1728000000","1684710038699","1684710057529","1000001","1090519040","1090519040","0.5060349741737195","0.929881953863614","25888"
"32e246bd-e69f-4b20-900f-70646f9eb479","0","1","8640000000","1728000000","1684710564768","1684710583726","1000001","1090519040","1090519040","0.506081208282391","0.9293428294432852","25888"
"66c05698-8bf3-43af-ab2c-2cbaaec51135","0","1","8640000000","864000000","1684711088489","1684711108669","1000001","1090519040","1090519040","0.5344873977019169","0.9295657620252653","25888"
"8ed67984-69e7-405b-a737-2788ec823180","0","1","8640000000","864000000","1684711592758","1684711612969","1000001","1090519040","1090519040","0.532904112898508","0.9285043306987197","25888"
"67f56a01-bb0b-4b40-b153-48b20079b6fc","0","1","8640000000","864000000","1684712101966","1684712122225","1000001","1090519040","1090519040","0.5294661690008136","0.9259650097195223","25888"
"abe7d612-3854-4e24-8706-deedd8d49175","0","1","43200000000","21600000000","1684712608048","1684712626995","1000001","1090519040","1090519040","0.5049665157570068","0.9278365177135235","25888"
"97acd7b9-ad02-475b-8a77-caa9aca30b6f","0","1","43200000000","21600000000","1684721040309","1684721059312","1000001","1090519040","1090519040","0.5055899194036939","0.926220810788438","25888"
"1dc89329-774e-4fde-a3b9-beed004da97d","0","1","43200000000","21600000000","1684729072888","1684729091814","1000001","1090519040","1090519040","0.5045006755146294","0.9237614812223977","25888"
"7751f3c8-9c9b-4169-bf1a-140f4ad9ef22","0","1","43200000000","8640000000","1684737524165","1684737544317","1000001","1295778073","1308622848","0.5270014160552496","0.9254757217021748","25888"
"fa90f40f-7ab0-4255-acb1-f378794531ec","0","1","43200000000","8640000000","1684740308221","1684740328359","1000001","1295771093","1308622848","0.5276343459581196","0.927796484303473","25888"
"df57a67f-2685-425f-9e2a-9ce0fa1265fb","0","1","43200000000","8640000000","1684740408267","1684740428427","1000001","1295776982","1308622848","0.5265293454693446","0.9289260862822465","25888"
"b893746a-d751-41f4-9db4-1637e644629a","0","1","43200000000","4320000000","1684740498986","1684740521531","1000001","2119095863","2348810240","0.5609290621889114","0.9295414475679399","25888"
"3691799e-bd42-471b-b6ab-5e0958c82cac","0","1","43200000000","4320000000","1684740619870","1684740642214","1000001","2129669735","2390753280","0.5570374626624076","0.9285788199781431","25888"
"47b2f3f5-6620-4f89-a6bd-81f3c5319003","0","1","43200000000","4320000000","1684740702049","1684740724395","1000001","2148304606","2399141888","0.5610263715608527","0.9246677894012219","25888"
"44ef5aca-2ba9-45c3-bf32-97cea83c6305","0","1","86400000000","43200000000","1684740904157","1684740923418","1000001","1290866816","1308622848","0.5040526619286807","0.9294699587422549","25888"
"3cb614ad-882c-4586-8413-000fc81e0d91","0","1","86400000000","43200000000","1684740992079","1684741011627","1000001","1290822105","1308622848","0.5111141329153542","0.93028923622301","25888"
"b395ed75-dd0d-4709-b8ff-381d4b2fb7cf","0","1","86400000000","43200000000","1684741130523","1684741149669","1000001","1290764307","1308622848","0.5044017909563279","0.9303536717744175","25888"
"08829d0d-fd4f-4802-a325-cad95653da6b","0","1","86400000000","17280000000","1684741252555","1684741273516","1000001","2087744814","2348810240","0.5391188502630196","0.9288730890499579","25888"
"62c40f62-f67a-46af-ba1a-9b0e6f15e292","0","1","86400000000","17280000000","1684741460019","1684741481266","1000001","1777379119","1895825408","0.5390202330760036","0.9304491524132994","25888"
"6abafc7e-f521-41d6-9a2f-e65b883d5b16","0","1","86400000000","17280000000","1684741547124","1684741568257","1000001","2071925090","2332033024","0.5407100471013858","0.9295946459572457","25888"
"27991d82-b55a-48d9-9f34-a324a1e47387","0","1","86400000000","8640000000","1684741660977","1684741685915","1000001","2741502045","3112173568","0.5936866050055534","0.9280720127668063","25888"
